Date,Open,High,Low,Close,Adj Close,Volume
2016-08-29,9.126666,9.173333,9.000000,9.000000,8.772033,114538
2016-08-30,9.000000,9.000000,9.000000,9.000000,8.772033,0
2016-08-31,9.006666,9.066666,8.900000,8.906666,8.681062,133443
2016-09-01,8.926666,8.966666,8.666666,8.666666,8.447142,338652
2016-09-02,8.706666,8.840000,8.680000,8.740000,8.518618,178306
2016-09-05,8.766666,8.893333,8.740000,8.860000,8.635578,358840
2016-09-06,8.873333,8.940000,8.840000,8.866666,8.642076,479316
2016-09-07,8.893333,8.900000,8.746666,8.760000,8.538112,201712
2016-09-08,8.820000,8.820000,8.720000,8.726666,8.505622,366768
2016-09-09,8.740000,8.833333,8.666666,8.673333,8.453640,183795
2016-09-12,8.673333,8.673333,8.673333,8.673333,8.453640,0
2016-09-13,8.673333,8.673333,8.673333,8.673333,8.453640,0
2016-09-14,8.673333,8.673333,8.673333,8.673333,8.453640,0
2016-09-15,8.673333,8.673333,8.673333,8.673333,8.453640,0
2016-09-16,8.700000,8.713333,8.453333,8.566666,8.349674,322534
2016-09-19,8.613333,8.880000,8.486666,8.880000,8.655072,1287679
2016-09-20,8.880000,8.913333,8.633333,8.680000,8.460138,785364
2016-09-21,8.713333,8.946666,8.713333,8.846666,8.622582,860185
2016-09-22,8.846666,8.900000,8.753333,8.900000,8.674565,1036338
2016-09-23,8.913333,9.066666,8.840000,9.000000,8.772033,851607
2016-09-26,8.660000,8.720000,8.586666,8.626666,8.408154,741934
2016-09-27,8.666666,8.820000,8.620000,8.786666,8.564102,784485
2016-09-28,8.806666,8.853333,8.760000,8.806666,8.583595,369409
2016-09-29,8.826666,8.846666,8.720000,8.733333,8.512120,255777
2016-09-30,8.686666,8.713333,8.640000,8.693333,8.473133,242212
2016-10-03,8.706666,8.833333,8.686666,8.813333,8.590094,571960
2016-10-04,8.820000,8.973333,8.780000,8.933333,8.707055,621400
2016-10-05,8.900000,9.226666,8.880000,9.193333,8.960468,719977
2016-10-06,9.193333,9.240000,9.033333,9.073333,8.843508,595860
2016-10-07,9.126666,9.126666,8.946666,8.966666,8.739543,359934
2016-10-10,9.020000,9.046666,8.886666,8.946666,8.720049,293964
2016-10-11,8.986666,8.986666,8.900000,8.926666,8.700556,182664
2016-10-12,8.946666,9.053333,8.893333,8.920000,8.694058,229533
2016-10-13,8.920000,8.973333,8.800000,8.953333,8.726547,269649
2016-10-14,8.973333,9.213333,8.940000,9.186666,8.953969,583474
2016-10-17,9.186666,9.200000,9.080000,9.093333,8.863002,471421
2016-10-18,9.120000,9.166666,9.066666,9.066666,8.837009,341278
2016-10-19,9.100000,9.140000,9.086666,9.126666,8.895490,462937
2016-10-20,9.153333,9.313333,9.120000,9.293333,9.057936,1183509
2016-10-21,9.293333,9.320000,9.140000,9.193333,8.960468,572502
2016-10-24,9.193333,9.260000,9.173333,9.220000,8.986460,399099
2016-10-25,9.226666,9.253333,9.086666,9.126666,8.895490,420871
2016-10-26,9.140000,9.160000,9.033333,9.066666,8.837009,259869
2016-10-27,9.046666,9.086666,8.913333,8.973333,8.746041,302665
2016-10-28,8.960000,8.960000,8.673333,8.673333,8.453640,1155031
2016-10-31,8.700000,8.706666,8.600000,8.633333,8.414654,885433
2016-11-01,8.620000,8.686666,8.426666,8.460000,8.245710,693727
